AK-4A
Abu Simbel
Daur da Blao
Dawn Rising
Dayspring
Deep Desire
Deirdre's Claws
Deirdre's Heart
Deirdre's Symbol
Delightful Dolce
Delta Quartz
Demonic Longstaff
Dent du Chat
Destiny Knuckles
Devil's Finger
Diablo Bow
Diaitesia
Diamond Edge
Dignita del Conte
Disaster Claw
Disparia
Distant Requiem
Disturbance Signum
Dojigiri Yasutsuna
Dominion Harp
Don Patch Sword
Donare Trane
Dormius
Dowry Blade
Draco Claw
Draco Horn
Draconic Blade
Draconic Bow
Draconic Buster
Draconic Fire
Draconic Harp
Draconic Rod
Dragon Bar V
Dragon Buster
Dragon Slayer
Dragon Spear
Dreadful Flamesword
Dreadlance
Dream Atlas
Drill
Dum Ethysc
Durandal
Ecke Sachs
Edem
Eden
Eight-Life Katana
Eight-Life Katana Aqua
Eight-Life Katana Cardinal
Eight-Life Katana Cobalt
Eight-Life Katana Ecru
Eight-Life Katana Incendo
Eight-Life Katana Ivory
Eight-Life Katana Lumen
Eight-Life Katana Nyx
Eight-Life Katana Obsidian
Eight-Life Katana Sage
Eight-Life Katana Sterling
Eight-Life Katana Terra
Eight-Life Katana Ventus
Eighth Point of the Flock
Eighth Shear of the Flock
Eleventh Fang of the Pack
Emberfire Longblade
Embrasque Demiclone
Embrasque Replica
Embroidered Handballs
Emperor's Hand
Enchanted Broomstick
Eon
Ereshkigal
Erichthonius
Erichthonius Militis
Escalus Harp
Esna
Eternal Signature
Ethereal Lasher
Euripides
Eurytos Bow
Evanescence
Evening Floral Shower
Evyg Em Noytnetta
Ewiyar's Beak
Excalibur
Exitosus
Exo Antaeus
Exo Australis
Exo Kshathra
Exo Maitrah Karuna
Extinction Blade
Extinction Blade Mk II
Exuberant Lance
FRIED Spear
Faceless
Fallen Sword
Fang of the Dragonslayer
Fang of the Dragonslayer Mk II
Fangorn
Far Away
Fateless
Faust
Faust Aqua
Faust Incendo
Faust Lumen
Faust Nyx
Faust Rebirth
Faust Terra
Faust Ventus
Feast's Signum
Fediel Float
Fediel's Spine
Feendrache Pennant
Festering of Mournful Obsequies
Fimbul
Fire of Prometheus
Firestorm Scythe
First Fright of the Mischief
First Tail of the Mischief
Fist of Bahamut Coda
Fist of Bahamut Nova
Fist of Destruction
Five-Soul Staff
Five-Soul Staff Aqua
Five-Soul Staff Cardinal
Five-Soul Staff Cobalt
Five-Soul Staff Ecru
Five-Soul Staff Incendo
Five-Soul Staff Ivory
Five-Soul Staff Lumen
Five-Soul Staff Nyx
Five-Soul Staff Obsidian
Five-Soul Staff Sage
Five-Soul Staff Sterling
Five-Soul Staff Terra
Five-Soul Staff Ventus
Flamelance: Accendo
Flamma Orbis
Flohrenberk
Flowering Twilight
Flying A
Fonic Rod
Forbidden Agastia
Forbidden Agastia Mk II
Forbidden Inferno
Forbidden Memories
Forbidden Silence
Forsaken Agastia
Forsaken Agastia Mk II
Four-Sky Blade
Four-Sky Blade Aqua
Four-Sky Blade Cardinal
Four-Sky Blade Cobalt
Four-Sky Blade Ecru
Four-Sky Blade Incendo
Four-Sky Blade Ivory
Four-Sky Blade Lumen
Four-Sky Blade Nyx
Four-Sky Blade Obsidian
Four-Sky Blade Sage
Four-Sky Blade Sterling
Four-Sky Blade Terra
Four-Sky Blade Ventus
Freikugel
Frigorific Summer Parasol
Froggly Bell
Frostbite
Froststar Staff
Fudo-Kuniyuki
Fugaku Vista Bow
Fugudoku
Full Metal Recoil
Fusion Mobius
Futsunomitama
Gachatti
Gae Bulg
Gae Derg
Galactic Impact
Galilei's Insight
Galleon's Jaw
Gallinarius
Galvanic Lance
Gambanteinn
Gandiva
Gandring
Gangsta Knife
Gargantua
Garnet Broadaxe
Gastraphetes
Gauntlet of Proudearth
Gauntlet of Uriel (SSR)
Gauntlets
Gigante Bisector
Gigante Fist
Gigante Launcher
Gigante Slicer
Gisla
Glacial Militis
Glaive of Exultation
Gleipnir
Glory Thread
God Incoming
God of a Thousand Demons
Godsworn Edge
Golden Axe Relic
Golden Bell
Golden Blossom
Golden Bow Relic
Golden Dagger Relic
Golden Dragon
Golden Fists of Ura
Golden Gauntlet Relic
Golden Gun Relic
Golden Harp Relic
Golden Katana Relic
Golden Premium Sword
Golden SHRIMP Spreader
Golden Spear Relic
Golden Staff Relic
Golden Sword Relic
Goldslime Bell
Gospel of Water and Sky
Gothic Cutlery
Gotle Bell Cane
Gottfried
Gram
Great Spear
Greatsword Andalius
Gridarvor
Grim Evidence
Grynoth Demiclone
Guardian's Xiphos
Guivre Rod
Gullinbursti
Gun of Eternal Splendor
Gungnir
Hallowed Pilgrimage
Hand Axe
Hand Cannon
Hand of Brahman
Harakhte
Hard Knuckle
Harmonia
Harp of Bahamut Coda
Harp of Bahamut Nova
Harp of Eternal Splendor
Harp of Everlore
Harp of Renunciation
Harp of Repudiation
Harp of Westerly Winds
Harp of the Teachers
Harsiesis
Hatsoiiłhał
Hauteclaire
Heart of a Songbird
Heartbeat Mitten
Heat of The Sun
Heaven's Cloud
Heavenly Fawn Bow
Heiliges Schwert
Hekatonkheles
Heliogabalus Militis
Hellion Gauntlet
Hellion Gauntlet Aqua
Hellion Gauntlet Incendo
Hellion Gauntlet Lumen
Hellion Gauntlet Nyx
Hellion Gauntlet Rebirth
Hellion Gauntlet Terra
Hellion Gauntlet Ventus
Hellward Dagger
Helmholtz
Helmwige
Herb Basket
Hercules
Hermanubis
Heroic Bow
Highland Cougar
Higurashi
Hoarfrost Blade Persius
Holiday Wand
Hollow Purity
Hollowsky Axe
Hollowsky Blade
Hollowsky Bow
Hollowsky Spear
Hollowsky Staff
Holy Fox Strings
Holy Night Scepter
Honoikazuchi-no-Okami
Hope-Filled Knuckles
Hraesvelgr
Hrotti
Hrunting
Huanglong Gauntlet
Huanglong Katana
Huanglong Spear
Ice Claymore
Ice Crystal Staff
Ichigo Hitofuri
Ifrit Halberd
Illusion Scepter
Imaginary Knuckles
Imperious Fury
Impossible Diagram
In Full Whisker
Indigo Flame Stinger
Indra's Edge
Indra's Edge Militis
Indutiae
Innocent Doll
Innocent Love
Intervallo Bramoso
Into the Sunset
Ipetam
Ipetam Aqua
Ipetam Incendo
Ipetam Lumen
Ipetam Nyx
Ipetam Rebirth
Ipetam Terra
Ipetam Ventus
Iridescent Bow
Ished
Ishkur Shaft
Ishtar
Ivory Ark
Ixaba
Izayoi
Jack-O'-Brand
Jackknife
Jewel Modele
John Doe
Jolly Starcracker
Joyeuse
Judgment of Torrential Tides
Juzumaru
Ka Pua U'i
Kaguya's Folding Fan
Kahuan Leiomano
Kaladanda
Kalaurops
Kanabo
Kapilavastu
Kapilavastu Aqua
Kapilavastu Incendo
Kapilavastu Lumen
Kapilavastu Nyx
Kapilavastu Rebirth
Kapilavastu Terra
Kapilavastu Ventus
Katana of Renunciation
Katana of Repudiation
Keeper of Hallowed Ground
Kerak
Keraunos
Keraunos Aqua
Keraunos Incendo
Keraunos Lumen
Keraunos Nyx
Keraunos Rebirth
Keraunos Terra
Keraunos Ventus
Kerykeion
Khopesh
Kicking Enhancement Shoes
King's Thruster
Kiss of The Devil
Knight of Ice
Koukouvagia Militis
Kraken Club
Kris of Hypnos
Kusanagi
L'Arc Qui ne Faut
La Sylphide
Laevateinn
Lagrange
Lagrange Mk II
Lame d'ourlet
Lancet
Landslide Scepter
Langeleik
Langeleik Aqua
Langeleik Incendo
Langeleik Lumen
Langeleik Nyx
Langeleik Rebirth
Langeleik Terra
Langeleik Ventus
Last Sahrivar
Last Storm Blade
Last Storm Harp
Last Storm Lance
Le Fay
Leporidius
Leviathan Bow Omega
Leviathan Gaze Omega
Leviathan Scepter Omega
Leviathan Spear Omega
Levin Shooter
Lil' Macho
Lion Khan Claw
Little Vermilion
Logic Breaker
Lohengrin
Lord of Flames
Love Eternal
Love Live Light
Lovely Ace
Lu Woh's Horn
Luin
Lulling Flambeau
Luminiera Bhuj Omega
Luminiera Bolt Omega
Luminiera Harp Omega
Luminiera Sword Omega
Luna's Friend
Lunar Bearer
Lunatic Broom
Lupercalia
Lyst Sin
Machine Saw
Magma Gauntlet
Magma Rush
Magus Scepter
Maiden's Dragonblade
Majestas
Majestic Royal Pole
Mammon Glove
Manawydan Blade
Manawydan Gauntlet
Mandjet
Marine Ace
Maritozzo
Marquesas
Marriage Ring
Martial Steel of the Sovereign
Master Bamboo Sword
Master Key
Maverick
Medusiana Floatie
Medusiana Staff
Melodic Sphere
Melody of Judgement
Merveilleux
Metal Destroyer
Metal Hand
Meteor's Light
Meteora
Mettle
Mezieres
Midnight Radiance
Midnight Rose
Midsummer's Repose
Mikazuki
Mikazuki Munechika
Miming's Baselard
Mirror-Blade Shard
Misericorde
Misericorde Aqua
Misericorde Incendo
Misericorde Lumen
Misericorde Nyx
Misericorde Rebirth
Misericorde Terra
Misericorde Ventus
Mistilteinn
Mittron's Bow
Mittron's Gauntlet
Mittron's Treasured Blade
Mjolnir
Mobius Strip
Mole Troupe Flag
Montague's Oath
Mortality Bow
Mortality Bow Mk II
Much Ado
Murakumo
Murakumo Aqua
Murakumo Incendo
Murakumo Lumen
Murakumo Nyx
Murakumo Rebirth
Murakumo Terra
Murakumo Ventus
Muramasa
Muramasa Aqua
Muramasa Incendo
Muramasa Lumen
Muramasa Nyx
Muramasa Rebirth
Muramasa Terra
Muramasa Ventus
Murcielago
Murgleis
My Little Mim
Mysterian Holy Scepter
Mysterious Hatchet
Mysterious Sword
Mysterious Wand
Mystic Spray Gun
Mystique
Nagelring
Nalakuvara
Naughty Witch
Nebuchad
Nebuchad Aqua
Nebuchad Incendo
Nebuchad Lumen
Nebuchad Nyx
Nebuchad Rebirth
Nebuchad Terra
Nebuchad Ventus
Neko Punch Pro
Nephthys Fork
Nephthys Kris
Neptune's Trident
Nereus Staff
New Year Kadomatsu Gun
New Year Kadomatsu Staff
Nibelung Glas
Nibelung Horn
Nibelung Klinge
Nibelung Messer
Nichirin Sword
Night Rider
Nightmare Mobilizer
Nigredo Lance
Nilakantha
Nine-Realm Harp
Nine-Realm Harp Aqua
Nine-Realm Harp Cardinal
Nine-Realm Harp Cobalt
Nine-Realm Harp Ecru
Nine-Realm Harp Incendo
Nine-Realm Harp Ivory
Nine-Realm Harp Lumen
Nine-Realm Harp Nyx
Nine-Realm Harp Obsidian
Nine-Realm Harp Sage
Nine-Realm Harp Sterling
Nine-Realm Harp Terra
Nine-Realm Harp Ventus
Ninth Head of the Cartload
Nioh
Nirvana
Nirvana Aqua
Nirvana Incendo
Nirvana Lumen
Nirvana Nyx
Nirvana Rebirth
Nirvana Terra
Nirvana Ventus
Nostalgic Coffee Jelly
Nox Meteorum
Obscuritas
Obsidian Sword
Ocean Harp
Ocean's Klein
Official's Jitte
Oliver
Oliver Aqua
Oliver Incendo
Oliver Lumen
Oliver Nyx
Oliver Rebirth
Oliver Terra
Oliver Ventus
One-Rift Spear
One-Rift Spear Aqua
One-Rift Spear Cardinal
One-Rift Spear Cobalt
One-Rift Spear Ecru
One-Rift Spear Incendo
One-Rift Spear Ivory
One-Rift Spear Lumen
One-Rift Spear Nyx
One-Rift Spear Obsidian
One-Rift Spear Sage
One-Rift Spear Sterling
One-Rift Spear Terra
One-Rift Spear Ventus
Onikiri Yasutsuna
Only for a Cutie
Onyx Stormbringer
Ophelia
Original Sin
Orleans Standard
Ornate Paper Pinwheel
Ouroboros
Ouroboros Prime
Ouroboros Treat
Pain and Suffering
Pain of Death
Pantagruel
Pantoufle de Machine
Parashu
Parazonium
Partly Powerful Popgun
Peridot Crossbow
Perseus
Petit Bouquet de Fleurs
Phantasmas
Phantom Fangs
Phantom Thief Blade
Phoenix Beakblade
Phoenix Wing-Axe
Piercing Galewing
Pillar of Flame
Pilum
Pina Colata Cleaver
Pink Fan
Pinkie Needle
Pistol of Bahamut Coda
Pistol of Bahamut Nova
Piña Bestiary
Plasma Ripper
Plasma Slicer
Plume of Suparna
Plume of Suparna Militis
Plumeria Scepter
Plushie Pal
Poison Hand
Porculius
Prayer of Grand Gales
Predator Claw
Prismatic Mace
Proelium
Promise
Prototype
Prototype Reboot
Proximo
Proximo Aqua
Proximo Incendo
Proximo Lumen
Proximo Nyx
Proximo Rebirth
Proximo Terra
Proximo Ventus
Psycho Gauntlet
Psycho Syringe
Purifying Thunderbolt
Qilin Bow
Qilin Lyre
Qilin Sword
Qinglong Manewhip
Qinglong Spear
Qinglong Spear Malus
Qinglong Spear Pontus
Qinglong Spear Regus
Queen's Stinger
Radiance of Insightful Rebirth
Radiant Rinne
Raffiniert Arquebus
Raijodo
Raikiri
Railgun
Rainbow Bow
Rainbow Bracelet
Rainbow Hand
Rainbow Lyre
Ramsund Militis
Ramulus
Raphael
Ravening Harpoon
Ray Gun
Ray of Zhuque
Ray of Zhuque Malus
Ray of Zhuque Pontus
Ray of Zhuque Regus
Red Cyclone
Red King Crab
Red Sphere
Red Sun
Red-Wing Soul
Reflection of The Moon
Refrain of Blazing Vigor
Reindeer Horns
Renaissance Harp
Reputable Red Relic
Resentment's Gaze
Returner Staff
Reunion
Reveiller
Rhomphaia
Rhongomyniad
Ridill
Rin's Maracas
Ring of Raphael (SSR)
Ring of Wandergale
Ringed Armguards
Rip Van Winkle
Rise of Justice
Rocket Launcher
Rodentius
Romulus Spear
Romulus Spear Aqua
Romulus Spear Incendo
Romulus Spear Lumen
Romulus Spear Nyx
Romulus Spear Rebirth
Romulus Spear Terra
Romulus Spear Ventus
Rose Crystal Axe
Rose Crystal Bow
Rose Crystal Claw
Rose Crystal Harp
Rose Crystal Knife
Rose Crystal Lance
Rose Crystal Sword
Rose Crystal Wand
Roseate Aetherial Bow
Rosen Maiden
Rosenbogen
Rosenbogen Aqua
Rosenbogen Incendo
Rosenbogen Lumen
Rosenbogen Nyx
Rosenbogen Rebirth
Rosenbogen Terra
Rosenbogen Ventus
Rudolfina
Ruler of Fate
Ruling Pen
S.D.
SHRIMP Spreader
Sacred Flame Militis
Sacred Lance
Sacred Standard
Sacred Sword of the Guardian
Sagittarius Bow
Sahrivar
Saintly Crystal
Saintly Fountain
Sandcastle Song-Lume
Savior of Hallowed Ground
Scales of Dominion
Scarlet Crest Axe
Scarlet Sapphire
Scarlet Vane
Schoolbag
Schrodinger
Schrodinger Mk II
Schwarz Lightning
Scimitar of Brahman
Scissorhands
Scythe of Belial
Scythe of Darkherald
Scythe of Renunciation
Scythe of Repudiation
Sea of Dreams
Sealed Claustrum
Sealing Staff
Second Boss of the Herd
Second Star
Seilenos
Selene
Sephira Emerald Blade
Sephira Emerald Blaster
Sephira Emerald Bow
Sephira Emerald Dagger
Sephira Emerald Duke
Sephira Emerald Fork
Sephira Emerald Harp
Sephira Emerald Reaper
Sephira Emerald Staff
Sephira Emerald Sword
Septian Burner
Sette di Spade
Sette di Spade Mk II
Seven-Star Sword
Seven-Star Sword Aqua
Seven-Star Sword Cardinal
Seven-Star Sword Cobalt
Seven-Star Sword Ecru
Seven-Star Sword Incendo
Seven-Star Sword Ivory
Seven-Star Sword Lumen
Seven-Star Sword Nyx
Seven-Star Sword Obsidian
Seven-Star Sword Sage
Seven-Star Sword Sterling
Seven-Star Sword Terra
Seven-Star Sword Ventus
Seyfert
Shadow Viperlance
Shadowverse Gauntlet
Shark Bite
Sharom Bow
Sharp Letter
Shekhinah Bow
Sherwood Bow
Shine and Silence
Shining Silver
Shishio
Shishisosho
Shock-a-Lot
Shooting of The Star
Sikinnis
Silphium
Silver Axe Relic
Silver Bow
Silver Bow Relic
Silver Dagger Relic
Silver Gauntlet Relic
Silver Gun Relic
Silver Harp Relic
Silver Katana Relic
Silver Spear Relic
Silver Staff Relic
Silver Sword Relic
Silverslime Bell
Simple Opener
Sinensis
Six-Ruin Fist
Six-Ruin Fist Aqua
Six-Ruin Fist Cardinal
Six-Ruin Fist Cobalt
Six-Ruin Fist Ecru
Six-Ruin Fist Incendo
Six-Ruin Fist Ivory
Six-Ruin Fist Lumen
Six-Ruin Fist Nyx
Six-Ruin Fist Obsidian
Six-Ruin Fist Sage
Six-Ruin Fist Sterling
Six-Ruin Fist Terra
Six-Ruin Fist Ventus
Skeletal Eclipse
Skeleton Cane
Skofnung
Skofnung Aqua
Skofnung Incendo
Skofnung Lumen
Skofnung Nyx
Skofnung Rebirth
Skofnung Terra
Skofnung Ventus
Sky Ace
Sky Piercer
Skyrend Spear
Slarnd
Slaughter Demon
Sleipnir Shoe
Snack Pole
Snap Blade
Snowbane
Snowflake
Snowy Mobius Strip
Sol Flamma
Sol Remnant
Soldier Bow
Solomon's Accelerator
Solomon's Axe
Solomon's Axe Militis
Sombre Axe
Sorcery Climate Baton
Soshu Masamune
Sou-ou Momijimaru
Soul Eater
Soul Echoer
Soul Echoer Aqua
Soul Echoer Incendo
Soul Echoer Lumen
Soul Echoer Nyx
Soul Echoer Rebirth
Soul Echoer Terra
Soul Echoer Ventus
Souval Gauntlet
Spada di Vento
Spada di Vento Mk II
Sparkle Beat Vol. 29
Spear of Assail
Spear of Bahamut Coda
Spear of Bahamut Nova
Spear of Eternal Splendor
Spear of Renunciation
Spear of Repudiation
Special Fried Rice
Spectral Cleaver
Sphairai
Spike Shooter
Spirit Seeker
Spirit of Mana
Splash Howl
Split End
Splitting Axe of Midgardsormr
Spooky Mew
Spring's Whisperings
Spymur's Clause
Spymur's Vision
Spymur's Vision Militis
Staff of Bahamut Coda
Staff of Bahamut Nova
Staff of Divine Justice
Staff of Eternal Splendor
Staff of Renunciation
Staff of Repudiation
Starblaze Rings
Stardust Holly Rod
Stratomizer
Strawberry Slasher
Street Weapon
Summer Genesis
Summer Healing
Summer's Mirage
Sunflower Wand
Sunset Blaze
Sunset Fan
Sunshine Blade
Sunspot Spear
Sunya
Surviving Lightning
Swirly Wurst Hammer
Sword of Bahamut Coda
Sword of Bahamut Nova
Sword of Eternal Splendor
Sword of Gratitude
Sword of Michael (SSR)
Sword of Pallas
Sword of Pallas Militis
Sword of Renunciation
Sword of Repudiation
Sword of Valorblaze
Sword on the Cob
Swordfish
Symbol of Justice
Symmetria
Symmetria Mk II
Syringe or Treat
Tabarzin
Tahar Masala
Taisai Spirit Bow
Takeminakata
Tall-Tale Teller
Taming Sari
Tanzanite Blade
Tanzanite Duellum
Tatjenen
Teardrop Mandolin
Teiwaz
Ten-Wolf Gun
Ten-Wolf Gun Aqua
Ten-Wolf Gun Cardinal
Ten-Wolf Gun Cobalt
Ten-Wolf Gun Ecru
Ten-Wolf Gun Incendo
Ten-Wolf Gun Ivory
Ten-Wolf Gun Lumen
Ten-Wolf Gun Nyx
Ten-Wolf Gun Obsidian
Ten-Wolf Gun Sage
Ten-Wolf Gun Sterling
Ten-Wolf Gun Terra
Ten-Wolf Gun Ventus
Tentacular Javelin
Tenth Crest of the Clutch
Tetrastreamer
Thalassinus
The Hand That Scritches
The Mark of Death
The Storyteller
Theater of Temperance
Thorny Rose
Three-Tiger Axe
Three-Tiger Axe Aqua
Three-Tiger Axe Cardinal
Three-Tiger Axe Cobalt
Three-Tiger Axe Ecru
Three-Tiger Axe Incendo
Three-Tiger Axe Ivory
Three-Tiger Axe Lumen
Three-Tiger Axe Nyx
Three-Tiger Axe Obsidian
Three-Tiger Axe Sage
Three-Tiger Axe Sterling
Three-Tiger Axe Terra
Three-Tiger Axe Ventus
Thunder Dirk Jove
Thunder Dome
Thunder God Spear
Thyrsus
Tiamat Amood Omega
Tiamat Bolt Omega
Tiamat Bolt Prime
Tiamat Gauntlet Omega
Tiamat Glaive Omega
Tigrisius
Tiny Logger's Axe
Tlepilli
Toothache and Suffering
Training Wreath
Triaina
Tribunal Lyre Militis
Tribunal Thunder
Trick Serpent
Trick Stick
Trident of Brahman
Tropical Fairy
Tropical Winter
True Conviction Flashspear
True Glacial Dream Staff
True Grit
True Infernal Flamescythe
True Judgement Lyre
True Phantom Demon Blade
True Purity Sunblade
True Tiger's Bane
Truffle Skewer
Trí Bandia
Tsurumaru Kuninaga
Turpin Spear
Twelfth Vertex of the Passel
Twin Helix
Two-Crown Bow
Two-Crown Bow Aqua
Two-Crown Bow Cardinal
Two-Crown Bow Cobalt
Two-Crown Bow Ecru
Two-Crown Bow Incendo
Two-Crown Bow Ivory
Two-Crown Bow Lumen
Two-Crown Bow Nyx
Two-Crown Bow Obsidian
Two-Crown Bow Sage
Two-Crown Bow Sterling
Two-Crown Bow Terra
Two-Crown Bow Ventus
Two-by-Four
Tyros Bow
Tyros Scepter
Tyros Zither
Ukonvasara
Ullikummi
Ultima Axe
Ultima Blade
Ultima Bow
Ultima Claw
Ultima Dagger
Ultima Gun
Ultima Harp
Ultima Spear
Ultima Staff
Ultima Sword
Unheil
Unius
Unparalleled Chopsticks
Unsigned Kaneshige
Uraeus
Urchin Fist
Ursula Glove
Ushumgal
V.A.R.I.S.
Vagabond
Valentine Sword
Valentine Wand
Vanguard
Vassago
Vegalta
Venustas
Vergelmir
Vergilius
Verona Bow
Vertrauen
Veselago Piton
Vihta
Violino della Memoria
Vivid Verdure
Vlisragna
Vortex of the Void
Vynateya Militis
Wado Ichimonji
Wales Pennant
Wales' Finest
Walthari
Wamdus's Cnidocyte
Wand of Charmtide
Wand of Gabriel (SSR)
War Fan of Secret Teachings
Wasserspeier
Way Flyer
White Hawk
White Peony Pouch
Whitefrost Glacier
Wicked Sick Blaster
Wilhelm
Wilhelm Militis
Wilnas's Finger
Wind God Sword
Windflash
Windhose
Wing of the Pure
Winter's Frostnettle
Wood Sword
Wooden Sword Lake Toya
Woodland Prayer
World Ender
Worldbreaking Tauros
Worldforging Moros
Worldscathing Leon
Worldstorming Aetos
Worldvexing Angelos
Wrathfire Longblade
Wrathfire Militis
Wurtzite Scythe
Wyrmsword
Wyrmtiger Claw
Xeno Conviction Flashspear
Xeno Glacial Dream Staff
Xeno Infernal Flamescythe
Xeno Judgement Lyre
Xeno Phantom Demon Blade
Xeno Purity Sunblade
Xolotl Ripper
Xuanwu Mace
Xuanwu Mace Malus
Xuanwu Mace Pontus
Xuanwu Mace Regus
Xuanwu Shellfists
Yahata's Naginata
Yggdrasil Bow Omega
Yggdrasil Crystal Blade Omega
Yggdrasil Dagger Omega
Yggdrasil Dewbranch Omega
Yggdrasil's Bough
Yyrkoon
Zechariah
Zhuque Lyrewings
Zircon Edge
Zodiaco Vitae
Zosimos
Zroa Yeshana
Zwei Schaedel
